Page Number,Image Name (HC10-10002_XXX),Date (YYYY-MM-DD),Name of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Monthly Meeting,"Place (Township, County, etc)","Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)","Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Call Number
12,"HC10-10002_037, HC10-10002_038",1776-05-01,Nanna,13,18,female,Abington,"Byberry, Philadelphia","Knight, Thomas","Knight, Thomas",male,"Morris, Joshua; Parrish, John","Morris, Joshua; Parrish, John","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
13,"HC10-10002_040, HC10-10002_041",1776-05-01,Holland,22,22,male,Abington,"Byberry, Philadelphia","Knight, Thomas","Knight, Thomas",male,"Morris, Joshua; Parrish, John","Morris, Joshua; Parrish, John","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
14,HC10-10002_042,1776-06-04,Jack,18,21,male,Abington,"Cheltenham, Philadelphia","Mather, Benjamin","Mather, Benjamin",male,"Parrish, John; Verree, Robert","Parrish, John; Verree, Robert","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
15,HC10-10002_042,1776-06-05,Jim,10,21,male,Abington,"Moreland, Philadelphia","Walton, Thomas","Walton, Thomas",male,"Morris, Joshua; Parrish, John","Morris, Joshua; Parrish, John","Hallowell Jun., Wm","Hallowell Jr., Wm",,HC.PhQ.P480.07.002 (1250/J2.16)
16,HC10-10002_044,1776-06-07,Accro,18,21,male,Abington,"Moreland, Philadelphia","Thomas, Daniel","Thomas, Daniel",male,"Verree, Robert; Parrish, John","Verree, Robert; Parrish, John",,,,HC.PhQ.P480.07.002 (1250/J2.16)
17,HC10-10002_046,1776-06-27,Jane,16,18,female,Abington,Bucks County,"Bolton, Isaac","Bolton, Isaac",male,"Morris, Joshua; Shoemaker, Thomas","Morris, Joshua; Shoemaker, Thomas","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
18,HC10-10002_048,1776-09-06,James,40,40,male,Abington,"Lower Dublin, Philadelphia","Paul, John","Paul, John",male,"Thornton, James; Townsend, John","Thornton, James; Townsend, John","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
19,HC10-10002_048,1776-09-06,Sam,60,60,male,Abington,"Lower Dublin, Philadelphia","Paul, John","Paul, John",male,"Thornton, James; Townsend, John","Thornton, James; Townsend, John","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
20,HC10-10002_050,1777-01-21,Philas,64,64,female,Abington,"Moreland Township, Philadelphia","Clayton, Jonathan","Clayton, Jonathan",male,"Lukens, Joseph; Morris, Joshua","Lukens, Joseph; Morris, Joshua","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
21,HC10-10002_050,1777-01-21,Jane,7,18,female,Abington,"Moreland Township, Philadelphia","Clayton, Jonathan","Clayton, Jonathan",male,"Lukens, Joseph; Morris, Joshua","Lukens, Joseph; Morris, Joshua","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
22,HC10-10002_053,1777-05-13,Dick,,,male,Abington,"Bybury, Philadelphia","Townsend, Thomas","Townsend, Thomas",male,"Knight, Giles; Thornton, James","Knight, Giles; Thornton, James",,,,HC.PhQ.P480.07.002 (1250/J2.16)
23,HC10-10002_055,1777-09-25,Ann,16,18,female,Abington,"Lower Dublin, Philadelphia","Paul, John","Paul, John",male,"Townsend, John; Walton, William","Townsend, John; Walton, William",,,,HC.PhQ.P480.07.002 (1250/J2.16)
24,HC10-10002_057,1777-11-20,Dianah,55,55,female,Abington,"South Hampton, Bucks County","Bolton, Isaac","Bolton, Isaac",male,"Tomkins, Jacob; Lukens, Joseph","Tomkins, Jacob; Lukens, Joseph",,,,HC.PhQ.P480.07.002 (1250/J2.16)
25,HC10-10002_059,1778-02-08,Rose,35,35,female,Abington,"Abington, Philadelphia","Carroll, Margery","Carroll, Margery",female,"Morris, Joshua; Campbell, John","Morris, Joshua; Campbell, John",,,,HC.PhQ.P480.07.002 (1250/J2.16)
26,HC10-10002_061,1779-07-29,Christian John,,,male,Abington,"Bristol, Philadelphia","Dilworth, Jacob","Dilworth, Jacob",male,"Child, John; Williams, George","Child, John; Williams, George",,,,HC.PhQ.P480.07.002 (1250/J2.16)
2,HC10-10008_01,1776-11-14,Cuffy,22,22,male,Blackwater,"Sussex County, Virginia","Cornwell, John","Cornwell, John",male,"Pretlow, John and Richs, Thos ","Pretlow, John and Ricks, Thomas",,,,HC.BM.B541.02.003 (1116/196)
2,HC10-10008_01,1776-11-18,Hannah,46,46,female,Blackwater,"Prince George County, Virginia","Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,HC.BM.B541.02.003 (1116/196)
3,HC10-10008_02,1776-11-18,Jemmy,33,33,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,HC.BM.B541.02.003 (1116/196)
3,HC10-10008_02,1776-11-18,Judy,20,20,female,Blackwater,"Prince George County, Virginia","Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,HC.BM.B541.02.003 (1116/196)
4,HC10-10008_03,1776-11-18,Ned,20,21,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,HC.BM.B541.02.003 (1116/196)
4,HC10-10008_03,1776-11-18,Dick,15,21,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,HC.BM.B541.02.003 (1116/196)
5,HC10-10008_04,1776-11-18,Isaac,15,21,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,HC.BM.B541.02.003 (1116/196)
5,HC10-10008_04,1776-11-18,Joe,2,21,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Robert","Hunnicutt, Robert",male,"Edwd.Stabler, Edwd.; Russel, Benja.; Pretlow, John  Stabler, Benja. Russel. John Pretlow","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,HC.BM.B541.02.003 (1116/196)
6,HC10-10008_05,1776-12-14,Davie,12,21,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd. and Hunnicutt, Thos.","Stabler, Edward and Hunnicutt, Thomas",,,,HC.BM.B541.02.003 (1116/196)
6,HC10-10008_05,1776-11-19,Areo,40,40,male,Blackwater,"Surrey County, Virginia","Hargrave, Hartwell","Hargrave, Hartwell",male,"Hopkins, Saml. and Stabler, Edwd.","Hopkins, Samuel and Stabler, Edward ",,,,HC.BM.B541.02.003 (1116/196)
7,HC10-10008_06,1776-12-21,Kinchin,20,21,male,Blackwater,"Sussex County, Virginia","Watkins, James","Watkins, James",male,"Peebles, Peter and Stabler, Edwd.","Peebles, Peter and Stabler, Edward",,,,HC.BM.B541.02.003 (1116/196)
7,HC10-10008_06,1776-11-20,Jim,14,21,male,Blackwater,"Southampton County, Virginia","Stanton, Sampson","Stanton, Sampson",male,"Stabler, Edwd. and Bailey, Joseph","Stabler, Edward and Bailey, Joseph",,,,HC.BM.B541.02.003 (1116/196)
8,HC10-10008_07,1776-11-20,Samson,60,60,male,Blackwater,"Southampton County, Virginia","Stanton, James","Stanton, James",male,"Stabler, Edwd; Bailey, Joseph; Stanton, Samson ","Stabler, Edward; Bailey, Joseph; Stanton, Samson",,,,HC.BM.B541.02.003 (1116/196)
8,HC10-10008_07,1776-11-20,Nanny,26,26,female,Blackwater,"Southampton County, Virginia","Stanton, James","Stanton, James",male,"Stabler, Edwd; Bailey, Joseph; Stanton, Samson ","Stabler, Edward; Bailey, Joseph; Stanton, Samson",,,,HC.BM.B541.02.003 (1116/196)
9,HC10-10008_08,1776-11-20,Lucy,11,18,female,Blackwater,"Southampton County, Virginia","Stanton, James","Stanton, James",male,"Stabler, Edwd; Bailey, Joseph; Stanton, Samson ","Stabler, Edward; Bailey, Joseph; Stanton, Samson",,,,HC.BM.B541.02.003 (1116/196)
9,HC10-10008_08,1776-11-20,Siar,8,18,female,Blackwater,"Southampton County, Virginia","Stanton, James","Stanton, James",male,"Stabler, Edwd; Bailey, Joseph; Stanton, Samson ","Stabler, Edward; Bailey, Joseph; Stanton, Samson",,,,HC.BM.B541.02.003 (1116/196)
10,HC10-10008_09,1776-11-20,Tom,6,21,male,Blackwater,"Southampton County, Virginia","Stanton, James","Stanton, James",male,"Stabler, Edwd; Bailey, Joseph; Stanton, Samson ","Stabler, Edward; Bailey, Joseph; Stanton, Samson",,,,HC.BM.B541.02.003 (1116/196)
10,HC10-10008_09,1776-11-20,Samson,3,31,male,Blackwater,"Southampton County, Virginia","Stanton, James","Stanton, James",male,"Stabler, Edwd; Bailey, Joseph; Stanton, Samson ","Stabler, Edward; Bailey, Joseph; Stanton, Samson",,,,HC.BM.B541.02.003 (1116/196)
11,HC10-10008_10,1776-11-20,Moses,1,21,male,Blackwater,"Southampton County, Virginia","Stanton, James","Stanton, James",male,"Stabler, Edwd; Bailey, Joseph; Stanton, Samson ","Stabler, Edward; Bailey, Joseph; Stanton, Samson",,,,HC.BM.B541.02.003 (1116/196)
11,HC10-10008_10,1776-11-20,Beck,40,40,female,Blackwater,"Sussex County, Virginia","White, John","White, John",male,"Stabler, Edwd and Cornwell, John","Stabler, Edward and Cornwell, John",,,,HC.BM.B541.02.003 (1116/196)
12,HC10-10008_11,1776-11-20,Bob,15,21,male,Blackwater,"Sussex County, Virginia","White, John","White, John",male,"Stabler, Edwd and Cornwell, John","Stabler, Edward and Cornwell, John",,,,HC.BM.B541.02.003 (1116/196)
12,HC10-10008_11,1776-11-20,Roger,8,21,male,Blackwater,"Sussex County, Virginia","White, John","White, John",male,"Stabler, Edwd and Cornwell, John","Stabler, Edward and Cornwell, John",,,,HC.BM.B541.02.003 (1116/196)
13,HC10-10008_12,1776-11-20,Lewis,5,21,male,Blackwater,"Sussex County, Virginia","White, John","White, John",male,"Stabler, Edwd and Cornwell, John","Stabler, Edward and Cornwell, John",,,,HC.BM.B541.02.003 (1116/196)
13,HC10-10008_12,1776-12-21,"Sam, Cupid, Lucey","60, 40, 25","60, 40, 25","male, male, female",Blackwater,"Surrey Country, Virginia","Hargrave, Mary","Hagrave, Mary",female,"Bailey, Joseph, Cornwell, John, Jones, Sam","Bailey, Joseph; Cornwell, John; Jones, Sam",,,,HC.BM.B541.02.003 (1116/196)
14,HC10-10008_13,1776-12-24,Cate,23,23,female,Blackwater,"Prince George County, Virginia","Hunnicutt, John","Hunnicutt, John",male,"Stabler, Edwd and Hunnicutt, Robert","Stabler, Edward and Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
14,HC10-10008_13,1776-12-24,Joe,22,22,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Thomas","Hunnicutt, Thomas",male,"Stabler, Edwd and Hunnicutt, Robert","Stabler, Edward and Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
15,HC10-10008_14,1776-12-24,Nathan,21,21,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Thomas","Hunnicutt, Thomas",male,"Stabler, Edwd and Hunnicutt, Robert","Stabler, Edward and Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
15,HC10-10008_14,1777-01-08,Phebe,32,32,female,Blackwater,"Prince George County, Virginia","Hunnicutt, Wiiliam","Hunnicutt, Wiiliam",male,"Hunnicutt, John and Hunnicutt, Sarah","Hunnicutt, John and Hunnicutt, Sarah",,,,HC.BM.B541.02.003 (1116/196)
16,HC10-10008_15,1777-01-08,Aggey,14,18,female,Blackwater,"Prince George County, Virginia","Hunnicutt, Wiiliam","Hunnicutt, Wiiliam",male,"Hunnicutt, John and Hunnicutt, Sarah","Hunnicutt, John and Hunnicutt, Sarah",,,,HC.BM.B541.02.003 (1116/196)
16,HC10-10008_15,1777-01-08,Grace,12,18,female,Blackwater,"Prince George County, Virginia","Hunnicutt, Wiiliam","Hunnicutt, Wiiliam",male,"Hunnicutt, John and Hunnicutt, Sarah","Hunnicutt, John and Hunnicutt, Sarah",,,,HC.BM.B541.02.003 (1116/196)
17,HC10-10008_16,1777-03-15,"Peter, Tom, Joan, Fortune, Syddy, & Milly, James, Ben, Sam,Peter, Fanny, Annabry, Hannah",Peter-Milly - all over 21;   James-Hannah - all under 21,,,Blackwater,"Prince George County, Virginia","Hunnicutt, Sarah","Hunnicutt, Sarah",female,"Stabler, Edwd.; Cornwell, John; Bailey, Joseph G.","Stabler, Edward; Cornwell, John; Bailey, Joseph G.",,,,HC.BM.B541.02.003 (1116/196)
18,HC10-10008_17,1777-02-08,Bett,45,45,female,Blackwater,"Prince George County, Virginia","Hunnicutt, Wyke","Hunnicutt, Wyke",male,"Bailey, Ans.; Hair, Henry; Stabler, Edwd.","Bailey, Ansolme; Hair, Henry; Stabler, Edward",,,,HC.BM.B541.02.003 (1116/196)
18,HC10-10008_17,1777-02-08,Amy,13,18,female,Blackwater,"Prince George County, Virginia","Hunnicutt, Wyke","Hunnicutt, Wyke",male,"Bailey, Ans.; Hair, Henry; Stabler, Edwd.","Bailey, Ansolme; Hair, Henry; Stabler, Edward",,,,HC.BM.B541.02.003 (1116/196)
19,HC10-10008_18,1777-03-15,Silla,22,22,female,Blackwater,"Prince George County, Virginia","Hunnicutt, Wyke","Hunnicutt, Wyke",male,"Stabler, Edwd; Cornwell, John; Hunnicutt, Robert","Stabler, Edward; Cornwell, John; Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
19,HC10-10008_18,1777-03-15,Jesse ,25,25,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Wyke","Hunnicutt, Wyke",male,"Stabler, Edwd; Cornwell, John; Hunnicutt, Robert","Stabler, Edward; Cornwell, John; Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
20,HC10-10008_19,1777-03-15,Moses,20,21,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Wyke","Hunnicutt, Wyke",male,"Stabler, Edwd; Cornwell, John; Hunnicutt, Robert","Stabler, Edward; Cornwell, John; Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
20,HC10-10008_19,1777-03-15,Gaberal,20,21,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Wyke","Hunnicutt, Wyke",male,"Stabler, Edwd; Cornwell, John; Hunnicutt, Robert","Stabler, Edward; Cornwell, John; Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
21,HC10-10008_20,1777-03-15,Duke,20,21,male,Blackwater,"Prince George County, Virginia","Hunnicutt, Wyke","Hunnicutt, Wyke",male,"Stabler, Edwd; Cornwell, John; Hunnicutt, Robert","Stabler, Edward; Cornwell, John; Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
21,HC10-10008_20,1777-03-15,Milly,20,20,female,Blackwater,"Prince George County, Virginia","Hunnicutt, Wyke","Hunnicutt, Wyke",male,"Stabler, Edwd; Cornwell, John; Hunnicutt, Robert","Stabler, Edward; Cornwell, John; Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
22,HC10-10008_21,1778-01-10,Aggy,57,57,female,Blackwater,"Prince George County, Virginia","Simmons, William","Simmons, William",male,"Hunnicutt, John and Hunnicutt, Robt.","Hunnicutt, John and Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
22,HC10-10008_21,1778-01-10,Sinn,21,21,male,Blackwater,"Prince George County, Virginia","Simmons, William","Simmons, William",male,"Hunnicutt, John and Hunnicutt, Robt.","Hunnicutt, John and Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
23,HC10-10008_22,1778-01-10,Dol,10,18,female,Blackwater,"Prince George County, Virginia","Simmons, William","Simmons, William",male,"Hunnicutt, John and Hunnicutt, Robt.","Hunnicutt, John and Hunnicutt, Robert",,,,HC.BM.B541.02.003 (1116/196)
23,HC10-10008_22,1779-02-18,Dick,43,43,male,Blackwater,"Dinwiddie County, Virginia","Butler, John","Butler, John",male,"Fisher, David; Stabler, Edwd.; Butler, Joseph","Fisher, David; Stabler, Edward; Butler, Joseph",,,,HC.BM.B541.02.003 (1116/196)
24,HC10-10008_23,1779-02-18,Sam,18,21,male,Blackwater,"Dinwiddie County, Virginia","Butler, John","Butler, John",male,"Fisher, David; Stabler, Edwd.; Butler, Joseph","Fisher, David; Stabler, Edward; Butler, Joseph",,,,HC.BM.B541.02.003 (1116/196)
24,HC10-10008_23,1779-02-18,Amy,20,20,female,Blackwater,"Dinwiddie County, Virginia","Butler, John","Butler, John",male,"Butler, Joseph; Fisher, David; Stabler, Edwd.","Butler, Joseph; Fisher, David; Stabler, Edward",,,,HC.BM.B541.02.003 (1116/196)
25,HC10-10008_24,1779-05-27,Judy,50,50,female,Blackwater,"Dinwiddie County, Virginia","Butler, James Junr.","Butler, James Jr.",male,"Stabler, Edwd; Butler, John; Stabler, Mary","Stabler, Edward; Butler, John; Stabler, Mary",,,,HC.BM.B541.02.003 (1116/196)
25,HC10-10008_24,1779-05-27,Jimmy,14,21,male,Blackwater,"Dinwiddie County, Virginia","Butler, James Junr.","Butler, James Jr.",male,"Stabler, Edwd; Butler, John; Stabler, Mary","Stabler, Edward; Butler, John; Stabler, Mary",,,,HC.BM.B541.02.003 (1116/196)
26,HC10-10008_25,1779-05-27,Dick,11,21,male,Blackwater,"Dinwiddie County, Virginia","Butler, James Junr.","Butler, James Jr.",male,"Stabler, Edwd; Butler, John; Stabler, Mary","Stabler, Edward; Butler, John; Stabler, Mary",,,,HC.BM.B541.02.003 (1116/196)
26,HC10-10008_25,1779-05-31,Will,65,65,male,Blackwater,"Dinwiddie County, Virginia","Butler, William","Butler, William",male,"Stabler, Edwd; Butler, Joseph; Fisher, David","Stabler, Edward; Butler, Joseph; Fisher, David",,,,HC.BM.B541.02.003 (1116/196)
27,HC10-10008_26,1779-05-31,Toney,58,58,male,Blackwater,"Dinwiddie County, Virginia","Butler, William","Butler, William",male,"Stabler, Edwd; Butler, Joseph; Fisher, David","Stabler, Edward; Butler, Joseph; Fisher, David",,,,HC.BM.B541.02.003 (1116/196)
27,HC10-10008_26,1779-05-31,Fillis,31,31,female,Blackwater,"Dinwiddie County, Virginia","Butler, William","Butler, William",male,"Stabler, Edwd; Butler, Joseph; Fisher, David","Stabler, Edward; Butler, Joseph; Fisher, David",,,,HC.BM.B541.02.003 (1116/196)
28,HC10-10008_27,1779-05-31,Nedd ,27,27,male,Blackwater,"Dinwiddie County, Virginia","Butler, William","Butler, William",male,"Stabler, Edwd; Butler, Joseph; Fisher, David","Stabler, Edward; Butler, Joseph; Fisher, David",,,,HC.BM.B541.02.003 (1116/196)
28,HC10-10008_27,1779-05-31,Dick,29,29,male,Blackwater,"Dinwiddie County, Virginia","Butler, William","Butler, William",male,"Stabler, Edwd; Butler, Joseph; Fisher, David","Stabler, Edward; Butler, Joseph; Fisher, David",,,,HC.BM.B541.02.003 (1116/196)
29,HC10-10008_28,1779-05-31,Jenny,22,22,female,Blackwater,"Dinwiddie County, Virginia","Butler, William","Butler, William",male,"Stabler, Edwd; Butler, Joseph; Fisher, David","Stabler, Edward; Butler, Joseph; Fisher, David",,,,HC.BM.B541.02.003 (1116/196)
29,HC10-10008_28,1779-05-31,Jemmy,20,21,male,Blackwater,"Dinwiddie County, Virginia","Butler, William","Butler, William",male,"Stabler, Edwd; Butler, Joseph; Fisher, David","Stabler, Edward; Butler, Joseph; Fisher, David",,,,HC.BM.B541.02.003 (1116/196)
30,HC10-10008_29,1779-05-31,Sam,11,21,male,Blackwater,"Dinwiddie County, Virginia","Butler, William","Butler, William",male,"Stabler, Edwd; Butler, Joseph; Fisher, David","Stabler, Edward; Butler, Joseph; Fisher, David",,,,HC.BM.B541.02.003 (1116/196)
30,HC10-10008_29,1779-05-31,Abraham,8,21,male,Blackwater,"Dinwiddie County, Virginia","Butler, William","Butler, William",male,"Stabler, Edwd; Butler, Joseph; Fisher, David","Stabler, Edward; Butler, Joseph; Fisher, David",,,,HC.BM.B541.02.003 (1116/196)
45,HC10-10002_090,1777-05-26,Abner Streve,9,21,male,Exeter,"Robeson, Berks County","Scarlet, John","Scarlet, John",male,"Jackson, Eleazar; Jackson, Rachel","Jackson, Eleazar; Jackson, Rachel","Parvin, Fran","Parvin, Francis",,HC.PhQ.P480.07.002 (1250/J2.16)
46,HC10-10002_090,1777-05-26,Barne Streve,5,21,male,Exeter,"Robeson, Berks County","Scarlet, John","Scarlet, John",male,"Jackson, Eleazar; Jackson, Rachel","Jackson, Eleazar; Jackson, Rachel","Parvin, Fran","Parvin, Francis",,HC.PhQ.P480.07.002 (1250/J2.16)
27,HC10-10002_064,1775-12-02,Jess,,,male,Gwynedd,,"Jacobs, Israel","Jacobs, Israel",male,"Vanderflier, Jacob; Thetis, John","Vanderflier, Jacob; Thetis, John","Cleaver, Ezekiel","Cleaver, Ezekiel","Acting on Behalf of Late Brother, Benjamin Jacobs",HC.PhQ.P480.07.002 (1250/J2.16)
28,HC10-10002_066,1776-04-01,Dinah,17,18,femaie,Gwynedd,"Whitemarsh, Philadelphia","Robinson, Mary","Robinson, Mary",female,"Cleaver, Ezekiel; Morris, Joshua","Ezekiel Cleaver, Joshua Morris","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
29,HC10-10002_068,1776-04-04,Marge,,,female,Gwynedd,"Providence, Philadelphia","Jacobs, Israel","Jacobs, Israel",male,"Hobson, Frank; Robinson, Thomas","Hobson, Frank; Robinson, Thomas","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
43,HC10-10002_085,1776-05-10,Rachel,,,female,Gwynedd,"Plymouth, Philadelphia","Jones, Joseph","Jones, Joseph",male,"Forman, John; Cleaver, Ezekiel","Forman, John; Cleaver, Ezekiel","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
30,HC10-10002_070,1776-06-08,Dina,20,20,female,Gwynedd,"Whitpain, Philadelphia","Morris, Jame","Morris, Jame",male,"Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
31,HC10-10002_070,1776-06-08,Neece,11,18,female,Gwynedd,"Gwynedd, Philadelphia","Lewis, Enos","Lewis, Enos",male,"Verree, Robert; Parrish, John","Verree, Robert; Parrish, John","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
